order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_abilities: (u):b(i):l(i):dd(E)z
_ability: (u):b(i):l(i):dd(E)
_able: (A):b(0)l
_aborted: (u):b(0)r:dd(i)d
_aborting: (u):b(0)r:dd(1)ng
_abortion: (u):b(0)r:sh(i)n
_abortions: (u):b(0)r:sh(i)nz
_about: (u):b(8)t
_abouts: (u):b(8)ts
_above: (u):b(u)v
_absolutely: (@)b:s(0)l:l(o)t:l(E)
_abuse: (u):by(o)z
_abused: (u):by(o)zd
_abuses: (u):by(o):z(i)z
_abusing: (u):by(o):z(1)ng
_academia: (a):k(u):d(A):m(E):(u)
_academic: (@):k(u):d(e):m(i)k
_academics: (@):k(u):d(e):m(i)ks
_accept: (e)k:s(e)pt
_accepted: (e)k:s(e)p:t(i)d
_accepts: (e)k:s(e)pts
_access: (@)k:s(e)s
_accessed: (@)k:s(e)st
_accesses: (@)k:s(i):s(i)z
_accessing: (@)k:s(i):s(1)ng
_accident: (@)k:s(i):d(e)nt
_accidents: (@)k:s(i):d(i)nts
_according: (u):k(0)r:d(1)ng:l(E)
_account: (u):k(8n)t
_accounted: (u):k(8n):dd(i)d
_accounting: (u):k(8n):t(1)ng
_accounts: (u):k(8n)ts
_accuse: (u):ky(o)z
_accused: (u):ky(o)zd
_accuses: (u):ky(o):z(i)z
_accusing: (u):ky(o):z(1)ng
_achieve: (u):ch(E)v
_achieved: (u):ch(E)vd
_achievement: (u):ch(E)v:m(i)nt
_achievements: (u):ch(E)v:m(i)nts
_achieves: (u):ch(E)vz
_achieving: (u):ch(E):v(1)ng
_acknowledge: (@)k:n(9):l(i)j
_acknowledged: (@)k:n(9):l(i)jd
_acknowledges: (@)k:n(9):l(i):j(i)z
_acknowledging: (@)k:n(9):l(i):j(1)ng
_acquainted: (u):kw(A)n:t(i)d
_acquire: (u):kw(I):(3)
_acquired: (u):kw(I):(3)d
_acquires: (u):kw(I):(3)z
_acquiring: (u):kw(I):(3):r(1)ng
_across: (u):kr(a)s
_act: (@)kt
_acted: (@)k:t(i)d
_acting: (@)k:t(1)ng
_action: (@)k:sh(i)n
_actions: (@)k:sh(i)ns
_active: (@)k:t(i)v
_actives: (@)k:t(i)vz
_activities: (@)k:t(i):v(i):dd(E)s
_activity: (@)k:t(i):v(i):dd(E)
_actor: (@)k:t(3)
_actors: (@)k:t(3)z
_acts: (@)ks
_actual: (@)k:sh(o):w(0)l
_actually: (@)k:sh(o):w(u):l(E)
_ad: (@)d
_add: (@)d
_added: (@):d(i)d
_addition: (u):d(i):sh(i)n
_additional: (u):d(i):sh(i):n(0)l
_additions: (u):d(i):sh(i)ns
_address: (u):dr(e)s
_addressed: (u):dr(e)st
_addresses: (u):dr(e):s(i)z
_addressing: (u):dr(e):s(1)ng
_adds: (@)dz
_administered: (@)d:m(i)n:n(i)s:t(3)d
_administration: (@)d:m(i)n:n(i)s:tr(A):sh(i)n
_administrations: (@)d:m(i)n:n(i)s:tr(A):sh(i)nz
_admit: (e)d:m(i)t
_admits: (e)d:m(i)ts
_admitted: (e)d:m(i):dd(i)d
_admitting: (e)d:m(i):dd(1)ng
_adopt: (u):d(a)pt
_adopted: (u):d(a)p:t(i)d
_adopting: (u):d(a)p:t(1)ng
_adopts: (u):d(a)ps
_ads: (@)dz
_adult: (u):d(0)lt
_adults: (u):d(0)lts
_advantage: (@)d:v(&)n:t(i)j
_advantages: (@)d:v(&)n:t(i):j(i)z
_advice: (@)d:v(I)s
_affair: (u):f(A)r
_affairs: (u):f(A)rz
_affect: (u):f(e)kt
_affected: (u):f(e)k:t(i)d
_affecting: (u):f(e)k:t(1)ng
_affects: (u):f(e)ks
_afford: (u):f(0)rd
_afforded: (u):f(0)r:dd(i)d
_affording: (u):f(0)r:dd(1)ng
_affords: (u):f(0)rdz
_afraid: (u):fr(A)d
_after: (@)f:t(3)
_afternoon: (@)f:t(3):n(o)n
_afternoons: (@)f:t(3):n(o)nz
_again: (u):g(e)n
_against: (u):g(e)n,st
_age: (A)j
_aged: (A)jd
_agencies: (A):j(i)n:s(E)z
_agency: (A):j(i)n:s(E)
_agencys: (A):j(i)n:s(E)z
_agenda: (u):j(e)n:d(u)
_agendas: (u):j(e)n:d(u)z
_agent: (A):j(i)nt
_agents: (A):j(i)nts
_ages: (A):j(i)z
_ago: (u):g(O)
_agree: (u):gr(E)
_agreed: (u):gr(E)d
_agreement: (u):gr(E):m(i)nt
_agreements: (u):gr(E):m(i)nts
_agrees: (u):gr(E)z
_ah: (@)
_ahead: (u):h(e)d
_aheads: (u):h(e)dz
_aid: (A)d
_aided: (A):dd(i)d
_aiding: (A):dd(1)ng
_aids: (A)dz
_aim: (A)m
_aimed: (A)md
_aiming: (A):m(1)ng
_aims: (A)mz
_ain't: (A)nt
_air: (A)r
_airline: (A)r:l(I)n
_airlines: (A)r:l(I)nz
_airport: (A)r:p(0)rt
_airports: (A)r:p(0)rts
