_a: u
_abilities: u:bi,il:li:ddE,Ez
_ability: u:bi,il:li:ddE
_able: A:bO,Ol
_aborted: u:b0,0r:ddi,id
_aborting: u:b0,0r:dd1,1ng
_abortion: u:b0,0r:shi,in
_abortions: u:b0,0r:shi,inz
_about: u:b8,8t
_abouts: u:b8,8ts
_above: u:bu,uv
_absolutely: @,@b:s0,0l:lo,ot:lE
_abuse: u:byo,oz
_abused: u:byo,ozd
_abuses: u:byo:zi,iz
_abusing: u:byo:z1,1ng
_academia: a:ku:dA:mE:u
_academic: @:ku:de:mi,ik
_academics: @:ku:de:mi,iks
_accept: e,ek:se,ept
_accepted: e,ek:se,ep:ti,id
_accepts: e,ek:se,epts
_access: @,@k:se,es
_accessed: @,@k:se,esd
_accesses: @,@k:si:si,iz
_accessing: @,@k:si:s1,1ng
_accident: @,@k:si:de,ent
_accidents: @,@k:si:di,ints
_according: u:k0,0r:d1,1ng:lE
_account: u:k8,8nt
_accounted: u:k8,8n:ddi,id
_accounting: u:k8,8n:t1,1ng
_accounts: u:k8,8nts
_accuse: u:kyo,oz
_accused: u:kyo:ozd
_accuses: u:kyo:zi,iz
_accusing: u:kyo:z1,1ng
_achieve: u:chE,Ev
_achieved: u:chE,Evd
_achievement: u:chE,Ev:mi,int
_achievements: u:chE,Ev:mi,ints
_achieves: u:chE,Evz
_achieving: u:chE:v1,1ng
_acknowledge: @,@k:n9:li,ij
_acknowledged: @,@k:n9:li,ijd
_acknowledges: @,@k:n9:li:ji,iz
_acknowledging: @,@k:n9:li:j1,1ng
_acquainted: u:kwA,An:ti,id
_acquire: u:kwI:3
_acquired: u:kwI:3,3d
_acquires: u:kwI:3,3z
_acquiring: u:kwI:3:r1,1ng
_across: u:kra,as
_act: @,@kt
_acted: @,@k:ti,id
_acting: @,@k:t1,1ng
_action: @,@k:shi,in
_actions: @,@k:shi,ins
_active: @,@k:ti,iv
_actives: @,@k:ti,ivz
_activities: @,@k:ti:vi:ddE,Es
_activity: @,@k:ti:vi:ddE
_actor: @,@k:t3
_actors: @,@k:t3,3z
_acts: @,@ks
_actual: @,@k:sho:w0,0l
_actually: @,@k:sho:wu:lE
_ad: @,@d
_add: @,@d
_added: @:di,id
_addition: u:di:shi,in
_additional: u:di:shi:n0,0l
_additions: u:di:shi,ins
_address: u:dre,es
_addressed: u:dre,esd
_addresses: u:dre:si,iz
_addressing: u:dre:s1,1ng
_adds: @,@dz
_administered: @,@d:mi,in:ni,is:t3,3d
_administration: @,@d:mi,in:ni,is:trA:shi,in
_administrations: @,@d:mi,in:ni,is:trA:shi,inz
_admit: e,ed:mi,it
_admits: e,ed:mi,its
_admitted: e,ed:mi:ddi,id
_admitting: e,ed:mi:dd1,1ng
_adopt: u:da,apt
_adopted: u:da,ap:ti,id
_adopting: u:da,ap:t1,1ng
_adopts: u:da,aps
_ads: @,@dz
_adult: u:d0,0lt
_adults: u:d0,0lts
_advantage: @,@d:v&,&n:ti,ij
_advantages: @,@d:v&,&n:ti:ji,iz
_advice: @,@d:vI,Is
_affair: u:fA,Ar
_affairs: u:fA,Arz
_affect: u:fe,ekt
_affected: u:fe,ek:ti,id
_affecting: u:fe,ek:t1,1ng
_affects: u:fe,eks
_afford: u:f0,0rd
_afforded: u:f0,0r:ddi,id
_affording: u:f0,0r:dd1,1ng
_affords: u:f0,0rdz
_afraid: u:frA,Ad
_after: @,@f:t3
_afternoon: @,@f:t3:no,on
_afternoons: @,@f:t3:no,onz
_again: u:ge,en
_against: u:ge,en,st
_age: A,Aj
_aged: A,Ajd
_agencies: A:ji,in:sE,Ez
_agency: A:ji,in:sE
_agencys: A:ji,in:sE,Ez
_agenda: u:je,en:du
_agendas: u:je,en:du,uz
_agent: A:ji,int
_agents: A:ji,ints
_ages: A:ji,iz
_ago: u:gO
_agree: u:grE
_agreed: u:grE,Ed
_agreement: u:grE:mi,int
_agreements: u:grE:mi,ints
_agrees: u:grE,Ez
_ah: @
_ahead: u:he,ed
_aheads: u:he,eds
_aid: A,Ad
_aided: A:ddi,id
_aiding: A:dd1,1ng
_aids: A,Adz
_aim: A,Am
_aimed: A,Amd
_aiming: A:m1,1ng
_aims: A,Amz
_aint: A,Ant
_air: A,Ar
_airline: A,Ar:lI,In
_airlines: A,Ar:lI,Inz
_airport: A,Ar:p0,0rt
_airports: A,Ar:p0,0rts
_alarm: u:la,arm
_alive: u:lI,Iv
_all: 9,9l
_allow: u:l8
_allowed: u:l8,8d
_allows: u:l8,8z
_almost: 9,9l:mO,Ost
_alone: u:lO,On
_along: u:l9,9ng
_already: 9,9l:re:dE
_alright: 9,9l:rI,It
_also: 9,9l:sO
_alternative: 9,9l:t3:ni:ddi,iv
_alternatively: 9,9l:t3:ni:ddi,iv:lE
_alternatives: 9,9l:t3:ni:ddi,ivz
_although: 9,9l:thO
_always: 9,9l:wA,Az
_am: &,&m
_amazing: u:mA:z1,1ng
_america: u:mA,Ar:ri:ku
_american: u:mA,Ar:ri:ki,in
_americans: u:mA,Ar:ri:ki,ins
_among: u:mu,ung
_amount: u:m8,8nt
_amounts: u:m8,8nts
_an: &,&n
_analysis: u:n@:lu:si,is
_analyst: &,&n:nu:li,ist
_analysts: &,&n:nu:li,ists
_ancient: A,An:chi,int
_ancients: A,An:chi,ints
_and: &,&nd
_anew: u:no
_angrier: A,An:grE:3
_angriest: A,An:grE:i,ist
_angry: A,An:grE
_animal: &:ni:m0,0l
_animals: &:ni:m0,0lz
_announce: u:n8,8ns
_announced: u:n8,8nsd
_announces: u:n8,8n:si,iz
_announcing: u:n8,8n:s1,1ng
_annual: &,&n:yo:w0,0l
_annuals: &,&n:yo:w0,0lz
_another: u:nu:th3
_anotherd: u,nu,th3,3d
_answer: &,&n:s3
_answered: &,&n:s3,3d
_answers: &,&n:s3,3z
_any: e:nE
_anybody: e:nE:ba:ddE
_anybodys: e:nE:ba:ddE,Ez
_anyhtingd: e:nE:th1,1ngd
_anymore: e:nE:m0,0r
_anyone: e:nE:wu,un
_anyones: e:nE:wu,unz
_anything: e:nE:th1,1ng
_anythings: e:nE:th1,1ngz
_anyway: e:nE:wA
_anyways: e:nE:wA,Az
_anywhere: e:nE:wA,Ar
_apart: u:pa,art
_apartment: u:pa,art:mi,int
_apartments: u:pa,art:mi,ints
_apparently: u:pa,ar:ri,int:lE
_appeal: u:pE,El
_appealed: u:pE,Eld
_appealing: u:pE,El:l1,1ng
_appeals: u:pE,Elz
_appear: u:pE,Er
_appearance: u:pE,Er:ri,ins
_appearances: u:pE,Er:ri,in:si,iz
_appeared: u:pE,Erd
_appears: u:pE,Erz
_apple: @:p0,0l
_application: @:pli:kA:shi,in
_applications: @:pli:kA:shi,inz
_applied: u:plI,Id
_applies: u:plI,Iz
_apply: u:plI
_applying: u:plI:1,1ng
_appreciate: u:prE:shi:A,At
_appreciated: u:prE:shi:A:ddi,id
_appreciates: u:pre:shi:A,Ats
_appreciating: u:prE:shi:A:dd1,1ng
_approach: u:prO,Och
_approached: u:prO,Ochd
_approaches: u:prO:chi,iz
_approaching: u:prO:ch1,1ng
_appropriate: u:pro:pri:i,it
_approval: u:pro:v0,0l
_approve: u:pro,ov
_approved: u:pro,ovd
_approves: u:pro,ovz
_approving: u:pro:v1,1ng
_are: a,ar
_area: A,Ar:rE:u
_areas: A,Ar:rE:u,uz
_argue: a,ar:gyo
_argued: a,ar:gyo,od
_argues: a,ar:gyo,oz
_argument: a,ar:gyo:mi,int
_arguments: a,ar:gyo:mi,ints
_arm: a,arm
_armed: a,armd
_armies: a,ar:mE,Ez
_arms: a,armz
_army: a,ar:mE
_armys: a,ar:mE,Ez
_around: u:r8,8nd
_arounds: u:r8,8ndz
_arrive: u:rI,Iv
_arrived: u:rI,Ivd
_arrives: u:rI,Ivz
_arriving: u:rI:v1,1ng
_art: a,art
_article: a,ar:ddi:k0,0l
_articles: a,ar:ddi:k0,0ls
_artist: a,ar:ddi,ist
_artists: a,ar:ddi,ists
_arts: a,arts
_as: @,@z
_aside: u:sI,Id
_ask: @,@sk
_asked: @,@skd
_asks: @,@sks
_aspect: @,@s:pe,ekt
_aspects: @,@s:pe,eks
_assess: u:se,es
_assessed: u:se,esd
_assesses: u:se:si,iz
_assessing: u:se:s1,1ng
_assessment: u:se,es:mi,int
_assessments: u:se,es:mi,ints
_asset: @:se,et
_assets: @:se,ets
_assistance: u:si,is:ti,ins
_associate: u:sO:shE:i,it
_associated: u:sO:shE:A:ddi,id
_associates: u:sO:shE:i,its
_associating: u:sO:shE:A:dd1,1ng
_association: u:sO:shE:A:shi,in
_associations: u:sO:shE:A:shi,ins
_assume: u:so,om
_assumed: u:so,omd
_assumes: u:so,omz
_assuming: u:so:m1,1ng
_astray: u:strA
_at: @,@t
_ate: A,At
_athena: u:thE:nu
_athlete: @:thu:lE,Et
_athletes: @:thu:lE,Ets
_attached: u:t@,@cht
_attack: u:t@,@k
_attacked: u:t@,@kd
_attacking: u:t@:k1,1ng
_attacks: u:t@,@ks
_attempt: u:te,empt
_attempted: u:te,emp:ti,id
_attempting: u:te,emp:t1,1ng
_attempts: u:te,empts
_attend: u:te,end
_attended: u:te,en:di,id
_attending: u:te,en:d1,1ng
_attends: u:te,endz
_attention: u:te,en:shi,in
_attentional: u:te,en:shi,in:n0,0l
_attitude: @:ddi:tu,ud
_attitudes: @:ddi:tu,udz
_attorney: u:t3:nE
_attorneys: u:t3:nE,Ez
_attract: u:tr@,@kt
_attracted: u:tr@,@k:ddi,id
_attracting: u:tr@:@k:dd1,1ng
_attracts: u:tr@,@kts
_audience: u:dE:i,ins
_audiences: u:dE:i,in:si,iz
_author: 9:th3
_authored: 9:th3,3d
_authorities: u:th0,0r:ri:ddE,Ez
_authority: u:th0,0r:ri:ddE
_authoritys: u:th0,0r:ri:ddE,Ez
_authors: 9:th3,3z
_availability: u:vA:lu:bi:li:ddE
_available: u:vA:li:b0,0l
_average: @:vri,ij
_averages: @:vri:ji,iz
_avoid: u:vQ,Qd
_avoided: u:vQ:di,id
_avoiding: u:vQ:d1,1ng
_avoids: u:vQ,Qdz
_awake: u:wA,Ak
_awakening: u:wA:ki:n1,1ng
_aware: u:wA,Ar
_away: u:wA
_aways: u:wA,Az
_awful: 9:f0,0l
_awoke: u:wO,Ok
_babies: bA:bE,Ez
_baby: bA:bE
_babys: bA:bE,Ez
_back: b@,@k
_backed: b@,@kd
_background: b@,@k:gr8,8nd
